id,edad,sexo,departamento,nivel_educativo,ingreso,satisfaccion,comentario
1,25,F,Lima,Superior,1800,4,buena atencion
2,17,M,Cusco,Secundaria,900,3,regular servicio
3,35,F,Lima,Superior,2500,5,excelente atencion
4,abc,M,Puno,Primaria,700,2,mala atencion
5,42,F,Arequipa,Superior,,4,buena orientacion
6,29,M,Lima,Tecnico,1600,5,muy buen servicio
7,66,F,Piura,Primaria,850,6,servicio lento
8,31,M,Cusco,Superior,2100,4,atencion adecuada
9,22,F,lima,Superior,1500,4, Buena Atención 
10,58,M,Trujillo,Secundaria,1200,3,servicio regular
